session_id,user_id,start_time,end_time,session_length_s,region,platform,gpu_model,avg_fps,ping_ms,map_name,crash_flag,purchase_amount,party_size,input_method,build_version,is_featured_event,device_temp_c,session_type,is_long_session
sess_c2fba8e7f37a,user_488,2025-07-18T18:32:00Z,2025-07-18 20:03:21-05:00,5481.0,us-west,pc,GTX1080,83.52,431.16,ocean,Yes,"0,00",2,Touch,,No,85.6,ranked,True
sess_33d286298cf9,user_1511,2025-06-13 23:21:08+00:00,2025-06-13 23:36:30+01:00,922.0,Us-east,PlayStation,,72.75,29.12,desert,No,0.0,3,Touch,,0,62.0,casual,0
sess_be2bb4d8986a,user_830,2025-10-20 02:42:07-05:00,20/10/2025 02:49,451.0,sa-east-1,PlayStation,,69.2,40.47,Forest,False,0.0,5,TOUCH,1.4,False,69.0,ranked,False
sess_7f425ca9a0e2,user_1,08/01/2025 06:35,2025-08-01T08:32:45Z,7031.0,sa-east-1,PlayStation,,33.29,92.4,Desert,No,17.55,1,Controller,1.3.2,0,48.1,casual,True
sess_5657e28b22ec,user_211,2025-09-08T23:41:44Z,2025-09-09 00:32:59+01:00,3075.0,US-EAST,switch,,69.96,12.63,Desert,False,0.0,2,controllr,,0,54.7, casual ,Yes
sess_acfe53608741,user_1743,12/04/2025 02:46,04/12/2025 03:00,824.0,Apac,switch,,50.71,72.42, ARENA-1 ,No,0.0,2,controllr,latest,false,,casual,No
sess_7280a636f151,user_2306,2025-03-21 05:33:04+00:00,2025-03-21T07:22:46Z,6582.0,eu,pc,RTX 3060,49.13,100.26,Arena-1,No,0.0,2,CONTROLLR,1.4.0-beta,0,, ranked ,1
sess_b19692530759,user_490,01/12/2025 11:54,01/12/2025 13:05,428600.0,EU, Pc ,RTX 3060,64.43,6.16,Forest,No,"1,80",2,Touch,1.4,false,54.7, RANKED ,true
sess_7d5f8aacf7c5,user_2224,10/30/2025 18:58,30/10/2025 19:36,2268.0,Us-east,switch,,57.53,61.56,Arena-1,0,0.0,1,controller,v1.3.2,0,49.5,RANKED,0
sess_c5f638242895,user_2248,15/12/2025 08:51,2025-12-15 10:41:52+00:00,6640.0,us-east,PC,GTX1080,79.83,68.36,CAVE,false,7.85,1,controller,latest,false,47.6, casual ,true
