event_id,user_id,repo_id,timestamp,event_type,lines_added,lines_deleted,files_changed,dominant_language,ci_status,coverage_percent,editor,os,time_to_ci_minutes,build_duration_s,tests_run,tests_failed,is_weekend,pr_merge_time_hours,label_is_high_quality,exam_period,commit_message_length,is_bot_user
evt_d351e59b15fd,user_2432,repo_575,29/03/2025 17:26,pr_opened,40,2,3,Python,SUCCESS,76.5, VSCODE ,WIN,13.38,493.98,115,8,1,54.6,0,true,39.0, HUMAN 
evt_435c1b33622f,user_2017,repo_1112,01/07/2025 12:20,Commit,3,24,2,GO,FAILED,75.5,VSCode,macOS,16.86,107.57,90,14,False,,0,No,65.0, Bot 
evt_758099c90286,user_930,repo_103,2025-01-30 02:26:34+00:00,pr_merged,13,12,11,Rust,failed,59.0,VIM,Linux,448.32,193.38,92,6,No,68.6,False,false,79.0,Human
evt_312809052420,user_1892,repo_988,2025-03-21 08:01:25-05:00,pr_opened,28,6,3, C++ ,SUCCESS,59.3, sublime ,windows,,498.92,177,12,0,50.6,No,No,,BOT
evt_0b2d75d29ec3,user_2793,repo_419,2025-02-28 18:22:51-05:00, Review_comment ,79,2,3,C++,failure,86.8,Vim, WIN ,1.14,162.55,113,9,false,,False,false,48.0,human
evt_19a79e8470ea,user_1830,repo_117,06/29/2025 15:18,ci_run,10,6,5,PYTHON,cancelled,82.9,sublime,linux,1.15,4.85,124,0,Yes,,False,0,62.0,human
evt_0c187cfa45db,user_1928,repo_85,24/01/2025 07:41,Pr_opened,11,10,7,rust,cancelled,79.3,Intellij,Windows,14.86,,149,10,False,12.0,False,false,49.0,Human
evt_2459e75224bc,user_348,repo_921,2025-10-25 19:27:29+00:00, PUSH ,6,24,3,Rust,cancelled,68.6,Sublime,Macos,4.56,510.25,163,0,Yes,,false,1,79.0,human
evt_c552cf68f079,user_918,repo_458,2025-10-27 03:20:37-05:00,Push,14,20,3,Rust,success,68.9,IntelliJ,WIN,10.87,9.66,47,14,0,,False,True,29.0,human
evt_867ddb5f5c4d,user_2160,repo_471,2025-01-01 18:33:52-05:00,ci_run,8,1,2,Python,Failure,79.8,NANO,WIN,3.14,290.41,139,0,No,,No,False,46.0,BOT
evt_b202b06d8474,user_1315,repo_1079,2025-10-29T02:04:19Z, Pr_merged ,16,32,1,Java,Failure,88.5,Sublime,Linux,3.33,100.18,139,16,0,4.9,false,Yes,97.0,Human
evt_11944d595448,user_389,repo_180,27/10/2025 15:46,Ci_run,41,0,2, java ,success,81.5,VSCODE, linux ,3.4,130.69,83,7,False,,0,1,45.0, HUMAN 
evt_a7a3aa86bedc,user_128,repo_93,2025-10-28T12:14:21Z,REVIEW_COMMENT,34,26,1,java,cancelled,97.6, nano ,Linux,14.69,2.55,111,13,No,,False,true,48.0,bot
evt_34f877b9c2ff,user_1252,repo_679,05/25/2025 12:06,Push,42,31,1,javascript,success,76.4,Vim,WIN,10.87,345.17,176,2,1,,false,No,58.0, HUMAN 
evt_269cf3211da3,user_11,repo_1102,03/20/2025 10:50,Push,1,5,2,Python,FAILURE,88.5,Vim,macOS,13.47,598.2,65,17,0,,No,False,34.0,Human
evt_62bdb0f89008,user_67,repo_121,2025-03-22 16:39:07-05:00, ci_run ,7,11,2,C++,FAILED,80.3,vim,linux,5.37,266.73,169,11,1,,false,0,13.0, HUMAN 
evt_f356503bd31e,user_1881,repo_29,17/11/2025 16:46,pr_merged,18,18,2, Python ,cancelled,100,IntelliJ,Windows,3.78,6.16,148,18,0,46.7,0,false,43.0,human
evt_e2abc9082d72,user_734,repo_20,03/25/2025 20:05,pr_opened,5,4,2,JavaScript,failure,76.5,Vim,linux,22.72,297.65,24,4,No,49.0,False,Yes,54.0,human
evt_ef25365241a2,user_329,repo_335,2025-10-20 06:41:34+01:00,commit,12,13,1,JavaScript,cancelled,74.3,INTELLIJ,linux,6.28,46.25,146,12,false,,0,false,32.0,Human
evt_1dd5f27d7be6,user_1205,repo_937,11/04/2025 14:07,push,8,26,5,Javascript,success,74.1,IntelliJ, macOS ,621.22,443.22,114,0,false,,false,false,18.0, HUMAN 
evt_1ea5de991d69,user_2631,repo_471,08/06/2025 08:17,pr_opened,1,8,2, JavaScript ,failure,"73,4",VIM,macOS,2.61,482.24,222,2,true,8.0,0,0,71.0, HUMAN 
