event_id,user_id,repo_id,timestamp,event_type,lines_added,lines_deleted,files_changed,dominant_language,ci_status,coverage_percent,editor,os,time_to_ci_minutes,build_duration_s,tests_run,tests_failed,is_weekend,pr_merge_time_hours,label_is_high_quality,exam_period,commit_message_length,is_bot_user
evt_d351e59b15fd,user_2432,repo_575,2025-03-29 17:26:00+00:00,pr_opened,40.0,2.0,3,python,success,76.5,vscode,windows,13.38,493.98,115,8.0,True,54.6,False,True,39.0,human
evt_435c1b33622f,user_2017,repo_1112,2025-07-01 12:20:00+00:00,commit,3.0,24.0,2,go,failed,75.5,vscode,macos,16.86,107.57,90,14.0,False,,False,False,65.0,bot
evt_758099c90286,user_930,repo_103,,pr_merged,13.0,12.0,11,rust,failed,59.0,vim,linux,448.32,193.38,92,6.0,False,68.6,False,False,79.0,human
evt_312809052420,user_1892,repo_988,,pr_opened,28.0,6.0,3,c++,success,59.3,sublime,windows,,498.92,177,12.0,False,50.6,False,False,,bot
evt_0b2d75d29ec3,user_2793,repo_419,,review_comment,79.0,2.0,3,c++,failed,86.8,vim,windows,1.14,162.55,113,9.0,False,,False,False,48.0,human
evt_19a79e8470ea,user_1830,repo_117,2025-06-29 15:18:00+00:00,ci_run,10.0,6.0,5,python,cancelled,82.9,sublime,linux,1.15,4.85,124,0.0,True,,False,False,62.0,human
evt_0c187cfa45db,user_1928,repo_85,2025-01-24 07:41:00+00:00,pr_opened,11.0,10.0,7,rust,cancelled,79.3,intellij,windows,14.86,,149,10.0,False,12.0,False,False,49.0,human
evt_2459e75224bc,user_348,repo_921,,push,6.0,24.0,3,rust,cancelled,68.6,sublime,macos,4.56,510.25,163,0.0,True,,False,True,79.0,human
evt_c552cf68f079,user_918,repo_458,,push,14.0,20.0,3,rust,success,68.9,intellij,windows,10.87,9.66,47,14.0,False,,False,True,29.0,human
evt_867ddb5f5c4d,user_2160,repo_471,,ci_run,8.0,1.0,2,python,failed,79.8,nano,windows,3.14,290.41,139,0.0,False,,False,False,46.0,bot
evt_b202b06d8474,user_1315,repo_1079,,pr_merged,16.0,32.0,1,java,failed,88.5,sublime,linux,3.33,100.18,139,16.0,False,4.9,False,True,97.0,human
evt_11944d595448,user_389,repo_180,2025-10-27 15:46:00+00:00,ci_run,41.0,0.0,2,java,success,81.5,vscode,linux,3.4,130.69,83,7.0,False,,False,True,45.0,human
evt_a7a3aa86bedc,user_128,repo_93,,review_comment,34.0,26.0,1,java,cancelled,97.6,nano,linux,14.69,2.55,111,13.0,False,,False,True,48.0,bot
evt_34f877b9c2ff,user_1252,repo_679,2025-05-25 12:06:00+00:00,push,42.0,31.0,1,javascript,success,76.4,vim,windows,10.87,345.17,176,2.0,True,,False,False,58.0,human
evt_269cf3211da3,user_11,repo_1102,2025-03-20 10:50:00+00:00,push,1.0,5.0,2,python,failed,88.5,vim,macos,13.47,598.2,65,17.0,False,,False,False,34.0,human
evt_62bdb0f89008,user_67,repo_121,,ci_run,7.0,11.0,2,c++,failed,80.3,vim,linux,5.37,266.73,169,11.0,True,,False,False,13.0,human
evt_f356503bd31e,user_1881,repo_29,2025-11-17 16:46:00+00:00,pr_merged,18.0,18.0,2,python,cancelled,100.0,intellij,windows,3.78,6.16,148,18.0,False,46.7,False,False,43.0,human
evt_e2abc9082d72,user_734,repo_20,2025-03-25 20:05:00+00:00,pr_opened,5.0,4.0,2,javascript,failed,76.5,vim,linux,22.72,297.65,24,4.0,False,49.0,False,True,54.0,human
evt_ef25365241a2,user_329,repo_335,,commit,12.0,13.0,1,javascript,cancelled,74.3,intellij,linux,6.28,46.25,146,12.0,False,,False,False,32.0,human
evt_1dd5f27d7be6,user_1205,repo_937,2025-04-11 14:07:00+00:00,push,8.0,26.0,5,javascript,success,74.1,intellij,macos,621.22,443.22,114,0.0,False,,False,False,18.0,human
evt_1ea5de991d69,user_2631,repo_471,2025-06-08 08:17:00+00:00,pr_opened,1.0,8.0,2,javascript,failed,73.4,vim,macos,2.61,482.24,222,2.0,True,8.0,False,False,71.0,human
evt_71bace4ff110,user_2650,repo_1164,,pr_merged,6.0,3.0,9,java,cancelled,70.5,vscode,windows,9.05,157.88,112,17.0,False,55.6,False,False,43.0,human
evt_607c071b6c01,user_385,repo_357,,review_comment,68.0,2.0,1,python,success,54.7,intellij,windows,12.26,345.1,218,21.0,False,,False,False,40.0,human
evt_27be57b37a49,user_1547,repo_316,2025-11-15 10:10:00+00:00,push,45.0,10.0,2,python,failed,81.9,sublime,linux,9.32,319.58,5,,True,,False,False,,human
evt_69b910aa0b44,user_2332,repo_1185,2025-05-30 05:09:00+00:00,commit,15.0,25.0,1,c++,success,98.5,vscode,linux,5.93,297.41,111,12.0,False,,False,False,32.0,human
evt_f6bcc2ac4cb5,user_1471,repo_158,2025-04-07 14:37:00+00:00,commit,52.0,8.0,5,rust,failed,76.5,vim,linux,7.47,128.29,140,16.0,False,,False,False,41.0,human
